bankaccount_id,bank_name,account_number,ifsc_code
1,Punjab National Bank,777105802166,PUNB0869603
2,Punjab National Bank,315692151496663,PUNB0802314
3,State Bank of India,11207238756,SBIN0483370
4,ICICI Bank,25877679859,ICIC0164716
5,ICICI Bank,7835936307829964,ICIC0252593
6,Punjab National Bank,34735607306,PUNB0600194
7,Axis Bank,8295754563898,UTIB0118608
8,Axis Bank,8375867201719,UTIB0516714
9,Kotak Mahindra Bank,825774068385984,KKBK0106469
10,Bank of Baroda,60683425052,BARB0388905
11,ICICI Bank,0265674309274,ICIC0652089
12,HDFC Bank,51499794438091,HDFC0905554
13,State Bank of India,1531577919,SBIN0537296
14,State Bank of India,8957991434773547,SBIN0801388
15,Canara Bank,9228678177,CNRB0724652
16,Axis Bank,172895140757,UTIB0498709
17,State Bank of India,89832363575,SBIN0135148
18,Axis Bank,9785458465874831,UTIB0714324
19,Kotak Mahindra Bank,0302872899,KKBK0649110
20,Punjab National Bank,71172431949,PUNB0619288
21,ICICI Bank,468037089918601,ICIC0008408
22,Union Bank of India,79282575897540,UBIN0189602
23,State Bank of India,8851522882220993,SBIN0771575
24,State Bank of India,631830864866518,SBIN0220593
25,Kotak Mahindra Bank,95047839863,KKBK0473309
26,Canara Bank,27209380056,CNRB0175599
27,Kotak Mahindra Bank,8900481016636298,KKBK0996368
28,Bank of Baroda,70703845172,BARB0384466
29,Punjab National Bank,11224436415546,PUNB0509217
30,HDFC Bank,865579999003,HDFC0550621
31,State Bank of India,17505200396,SBIN0508035
32,Punjab National Bank,214345497515766,PUNB0714555
33,ICICI Bank,3806052096,ICIC0982470
34,Canara Bank,6517437249,CNRB0223453
35,Punjab National Bank,5319093346,PUNB0750859
36,Canara Bank,906491051276335,CNRB0494912
37,Union Bank of India,56329001567393,UBIN0315904
38,Punjab National Bank,2431809371,PUNB0390843
39,Axis Bank,267242726484,UTIB0073616
40,Union Bank of India,06645899651728,UBIN0135052
41,IndusInd Bank,52773859565,INDB0512367
42,HDFC Bank,1555033560315,HDFC0073916
43,Kotak Mahindra Bank,898673125037,KKBK0997513
44,Union Bank of India,035207955361,UBIN0111550
45,Union Bank of India,74489499389647,UBIN0939229
46,State Bank of India,407525864838166,SBIN0335506
47,Union Bank of India,3455810008,UBIN0981174
48,State Bank of India,783383789538615,SBIN0950288
49,HDFC Bank,88049677444582,HDFC0188970
50,Kotak Mahindra Bank,2039544184557,KKBK0102081
